Time,Mx_f,My_f,Mz_f,B_z,Coeff of Exc. Pulse
0.001,-0.007869108824366904,0.8279687634699693,0.5599065447921376,-19,291
0.004,-0.009434711282882875,-0.9815358485531259,0.1576983207074797,-18,629
0.005,0.0077050014977389615,0.7002374753094199,0.7054562325701119,15,656
0.012,0.021850428702054215,-0.976795234782951,-0.11677902826080126,16,971
0.01,-0.10873019639482667,0.1260944463152417,-0.9727592291294992,-19,171
0.007,0.0015300154056082163,-0.3501261247823825,0.9263678216134035,4,354
0.007,-0.02167147185962416,0.9911509515705264,-0.006043911173856567,-17,367
0.014,0.013441469883591357,-0.6107679216810717,-0.7685025256392677,-8,856
0.001,0.0038217343920505793,0.49810109642766576,0.8669421159354224,15,250
0.014,-0.001025703206119745,-0.5065949945237185,0.8404429322620982,11,765
0.015,-0.0009221502942334911,0.9218487581497086,-0.3348278163855488,-2,397
0.007,0.014477978927290417,-0.8964232259920143,-0.42143489566252534,20,713
0.009,-0.02203039347684036,0.857723635672231,0.491495546467666,-17,832
0.005,0.0036439238666778734,0.5165382234816909,0.8491466097730541,-5,730
0.014,0.019648985254601115,-0.9405233010204881,0.27756293149062533,-1,528
0.009,-0.006828502952607302,0.9176521379676896,-0.3677756459277473,-17,196
0.014,0.0005345500094994471,-0.1680844563052382,0.9671279684948213,-18,486
0.011,0.012346423369133455,0.6592848575406777,0.7334577954600657,10,882
0.003,0.02522114341169282,-0.8131286625243072,-0.5745131384540036,14,695
0.01,0.0023183590479059157,-0.8748466690023824,0.45585592212137005,11,871
0.008,0.0016764876312146822,0.3281661002644332,0.9338294913645461,-19,808
0.01,0.002212452749627145,-0.306584579957315,0.9377918995861029,-20,449
0.002,-0.006742956375195693,0.9134936387553761,-0.4011082916321529,-4,852
0.008,0.008088543057270432,0.9175463693520484,-0.3713742914411507,5,816
0.012,0.017370576373343802,-0.7671745485323153,0.613632846655404,6,194
0.012,-0.007543300511303357,0.5905252736728087,0.788331357802684,-8,394
0.011,-0.009877711807970046,-0.8703770444523563,0.46077366522833424,-6,491
0.005,0.0021896086765046,0.6785092730566858,0.7264060009173354,2,779
0.009,-6.353539604457086e-06,-0.46394434684751634,0.8721014340408875,5,535
0.005,0.00999719526798266,-0.8929392720220272,-0.4345459968545484,18,429
0.013,0.03729121895291672,0.17611296529398562,-0.9664440485587886,14,520
0.002,-0.008491800134674899,0.9280429180018063,0.3689945995601625,-3,121
0.011,0.0244741686967812,0.8522140364378842,-0.4952768094050506,13,575
0.011,0.004256381419662873,0.5499182345442152,0.8192682046764718,-1,457
0.005,-0.002217710291307879,-0.3197438046707089,0.940231846074044,-14,520
0.011,-0.005184339010568388,0.6693706242742292,-0.7236468385908795,5,378
0.004,-0.009177470703172316,-0.9677453290892737,0.22740963548403395,-5,598
0.01,0.0011087596385520506,-0.9303897661085634,0.3245510814099934,6,386
0.001,-0.011135283700160455,0.9659704654429107,0.2556033033196356,-19,465
0.014,0.008125285367214817,0.734637704904168,0.6525376399952554,1,179
0.014,-0.04272808916490427,-0.9161759096490226,0.3474969517725988,17,621
0.011,-0.005357164946514994,0.9605770780287762,-0.22247085887281537,12,769
0.007,-0.04528044489936406,0.9469827687020328,-0.29314311631652423,-8,105
0.011,-0.02313372347806279,0.9060562074856121,-0.38848988040580157,-7,128
0.003,-0.012871000461761126,0.859578837029735,-0.5037785213766814,-6,269
0.011,0.010735069676009816,0.9077355648773209,0.385130988339357,-14,932
0.013,0.008259509769917572,-0.6149137595515323,0.7663225542421451,-7,676
0.015,-0.00039284638502155346,-0.6861207815121333,0.6990648335221148,-13,322
0.011,-0.09836477362758485,-0.969047366842409,0.14003416986355458,-5,339
0.003,-0.02604130777651538,-0.6304750995509505,-0.7706373903608853,-15,363
0.015,0.00010033372450284151,-0.3129615557665834,0.9289601227616204,10,996
0.011,0.008720444578872954,-0.9543452923318682,-0.24520043050975723,-11,586
